,Link,Name
,,
,,All
0,https://www.alexa.com/topsites/category/Top/Shopping/Antiques_and_Collectibles,Antiques and Collectibles
1,https://www.alexa.com/topsites/category/Top/Shopping/Auctions,Auctions
2,https://www.alexa.com/topsites/category/Top/Shopping/By_Region,By Region
3,https://www.alexa.com/topsites/category/Top/Shopping/Children,Children
4,https://www.alexa.com/topsites/category/Top/Shopping/Classifieds,Classifieds
5,https://www.alexa.com/topsites/category/Top/Shopping/Clothing,Clothing
6,https://www.alexa.com/topsites/category/Top/Shopping/Consumer_Electronics,Consumer Electronics
7,https://www.alexa.com/topsites/category/Top/Shopping/Crafts,Crafts
8,https://www.alexa.com/topsites/category/Top/Shopping/Death_Care,Death Care
9,https://www.alexa.com/topsites/category/Top/Shopping/Directories,Directories
10,https://www.alexa.com/topsites/category/Top/Shopping/Entertainment,Entertainment
11,https://www.alexa.com/topsites/category/Top/Shopping/Ethnic_and_Regional,Ethnic and Regional
12,https://www.alexa.com/topsites/category/Top/Shopping/Flowers,Flowers
13,https://www.alexa.com/topsites/category/Top/Shopping/Food,Food
14,https://www.alexa.com/topsites/category/Top/Shopping/General_Merchandise,General Merchandise
15,https://www.alexa.com/topsites/category/Top/Shopping/Gifts,Gifts
16,https://www.alexa.com/topsites/category/Top/Shopping/Health,Health
17,https://www.alexa.com/topsites/category/Top/Shopping/Holidays,Holidays
18,https://www.alexa.com/topsites/category/Top/Shopping/Home_and_Garden,Home and Garden
19,https://www.alexa.com/topsites/category/Top/Shopping/Jewelry,Jewelry
20,https://www.alexa.com/topsites/category/Top/Shopping/Music,Music
21,https://www.alexa.com/topsites/category/Top/Shopping/Niche,Niche
22,https://www.alexa.com/topsites/category/Top/Shopping/Office_Products,Office Products
23,https://www.alexa.com/topsites/category/Top/Shopping/Pets,Pets
24,https://www.alexa.com/topsites/category/Top/Shopping/Photography,Photography
25,https://www.alexa.com/topsites/category/Top/Shopping/Publications,Publications
26,https://www.alexa.com/topsites/category/Top/Shopping/Recreation,Recreation
27,https://www.alexa.com/topsites/category/Top/Shopping/Sports,Sports
28,https://www.alexa.com/topsites/category/Top/Shopping/Tobacco,Tobacco
29,https://www.alexa.com/topsites/category/Top/Shopping/Tools,Tools
30,https://www.alexa.com/topsites/category/Top/Shopping/Toys_and_Games,Toys and Games
31,https://www.alexa.com/topsites/category/Top/Shopping/Travel,Travel
32,https://www.alexa.com/topsites/category/Top/Shopping/Vehicles,Vehicles
33,https://www.alexa.com/topsites/category/Top/Shopping/Visual_Arts,Visual Arts
34,https://www.alexa.com/topsites/category/Top/Shopping/Weddings,Weddings
