Unnamed: 0,Link
0,http://www.change.org
1,http://www.avaaz.org
2,http://www.freerepublic.com
3,http://www.thepetitionsite.com
4,http://www.democracynow.org
5,http://www.bugmenot.com
6,http://www.newsbusters.org
7,http://www.credoaction.com
8,http://www.opendemocracy.net
9,http://www.dosomething.org
10,http://www.globalvoices.org
11,http://www.storify.com
12,http://www.peopleofwalmart.com
13,http://www.ipetitions.com
14,http://www.takepart.com
15,http://www.gopetition.com
16,http://www.apc.org
17,http://www.civicus.org
18,http://www.freespeech.org
19,http://www.kpfa.org
20,http://www.obeygiant.com
21,http://www.ethicalconsumer.org
22,http://www.michaelbluejay.com
23,http://www.changemakers.com
24,http://www.wbai.org
25,http://www.speakupwny.com
26,http://www.freepress.net
27,http://www.ethicalcorp.com
28,http://www.adbusters.org
29,http://www.kpfk.org
30,http://www.cnvc.org
31,http://www.occupywallst.org
32,http://www.mediaed.org
33,http://www.ushahidi.com
34,http://www.theworldcafe.com
35,http://www.wearethe99percent.tumblr.com
36,http://www.palwatch.org
37,http://www.occupy.com
38,http://www.leonardo.info
39,http://www.nonviolent-conflict.org
40,http://www.radio4all.net
41,http://www.sustainability.com
42,http://www.shelterforce.org
43,http://www.activism.com
44,http://www.rinf.com
45,http://www.theyesmen.org
46,http://www.communitychange.org
47,http://www.nonviolenceinternational.net
48,http://www.thirdcoastactivist.org
49,http://www.babymilkaction.org
0,http://www.yahoo.com
1,http://www.columbia.edu
2,http://www.drphil.com
3,http://www.marcandangel.com
4,http://www.succeedsocially.com
5,http://www.shareable.net
6,http://www.ishouldhavesaid.net
7,http://www.sodahead.com
8,http://www.askayeti.com
9,http://www.askdeb.com
10,http://www.elderwisdomcircle.org
11,http://www.lifetips.com
12,http://www.drdaveanddee.com
13,http://www.becomeopedia.com
14,http://www.advicenators.com
15,http://www.living-smartly.com
16,http://www.brainlagoon.com
17,http://www.leavingthefolks.com
18,http://www.harlancohen.com
19,http://www.socialchoice.com
20,http://www.theadvicepeople.com
21,http://www.areyoumyhero.com
22,http://www.dearmrsweb.com
23,http://www.wayneandtamara.com
24,http://www.forwardsteps.com.au
25,http://www.helpfulbox.com
26,http://www.kristensguide.com
27,http://www.alittlehelpfromafriend.weebly.com
28,http://www.nofopa.wordpress.com
29,http://www.randomwisdomblog.wordpress.com
0,http://www.siteadvisor.com
1,http://www.thesmokinggun.com
2,http://www.ncjrs.gov
3,http://www.websleuths.com
4,http://www.bop.gov
5,http://www.ic3.gov
6,http://www.netcraft.com
7,http://www.phishtank.com
8,http://www.victimsofcrime.org
9,http://www.identitytheft.gov
10,http://www.ca.gov
11,http://www.asacp.org
12,http://www.doenetwork.org
13,http://www.iwf.org.uk
14,http://www.sentencingproject.org
15,http://www.havocscope.com
16,http://www.antiphishing.org
17,http://www.ussc.gov
18,http://www.casebook.org
19,http://www.crimestoppers-uk.org
20,http://www.idtheftcenter.org
21,http://www.ojp.gov
22,http://www.streetgangs.com
23,http://www.phishing.org
24,http://www.victimsupport.org.uk
25,http://www.ncsbi.gov
26,http://www.iowasexoffender.com
27,http://www.zodiackiller.com
28,http://www.perverted-justice.com
29,http://www.policefoundation.org
30,http://www.cyberlawsindia.net
31,http://www.hells-angels.com
32,http://www.prisonlegalnews.org
33,http://www.safehorizon.org
34,http://www.tn.gov
35,http://www.ganglandnews.com
36,http://www.state.fl.us
37,http://www.kspsor.state.ky.us
38,http://www.tjjd.texas.gov
39,http://www.zodiackillerfacts.com
40,http://www.nw3c.org
41,http://www.olivecrest.org
42,http://www.sor.nebraska.gov
43,http://www.millersmiles.co.uk
44,http://www.cielodrive.com
45,http://www.alcatrazhistory.com
46,http://www.zodiackillersite.com
47,http://www.lizzie-borden.com
48,http://www.justdetention.org
49,http://www.techlawjournal.com
0,http://www.findagrave.com
1,http://www.dignitymemorial.com
2,http://www.tributes.com
3,http://www.deadoraliveinfo.com
4,http://www.deathlist.net
5,http://www.va.gov
6,http://www.forevermissed.com
7,http://www.iannounce.co.uk
8,http://www.ucfuneral.com
9,http://www.muchloved.com
10,http://www.findadeath.com
11,http://www.nfda.org
12,http://www.arlingtoncemetery.net
13,http://www.sdsu.edu
14,http://www.funeralone.com
15,http://www.frazerconsultants.com
16,http://www.neptunesociety.com
17,http://www.musicfuneralhome.com
18,http://www.us-funerals.com
19,http://www.abmc.gov
20,http://www.gravestonephotos.com
21,http://www.harrisfuneral.com
22,http://www.branchburgfuneralhome.com
23,http://www.death-clock.org
24,http://www.deathreference.com
25,http://www.westbrookfuneralhome.com
26,http://www.deathcafe.com
27,http://www.autopsyfiles.org
28,http://www.sytsemafh.com
29,http://www.shackelfordfuneraldirectors.com
30,http://www.dennisfuneralhomes.com
31,http://www.schmidtandbartelt.com
32,http://www.moranandgoebel.com
33,http://www.baue.com
34,http://www.forestlawn.com
35,http://www.horancares.com
36,http://www.highgatecemetery.org
37,http://www.krausefuneralhome.com
38,http://www.politicalgraveyard.com
39,http://www.obitmichigan.com
40,http://www.yourtribute.com
41,http://www.snyderfuneralhomes.com
42,http://www.celestis.com
43,http://www.dignityfunerals.co.uk
44,http://www.invocare.com.au
45,http://www.mankatomortuary.com
46,http://www.ippolitofuneralhomes.com
47,http://www.carmonfuneralhome.com
48,http://www.kaisercorson.com
49,http://www.zwickjahn.com
0,http://www.learningally.org
1,http://www.goodwill.org
2,http://www.cast.org
3,http://www.edinboro.edu
4,http://www.aacap.org
5,http://www.abilitynet.org.uk
6,http://www.access-board.gov
7,http://www.disabledperson.com
8,http://www.easterseals.com
9,http://www.nvaccess.org
10,http://www.enabled.in
11,http://www.dcmp.org
12,http://www.petpartners.org
13,http://www.resna.org
14,http://www.sdsu.edu
15,http://www.illinois.edu
16,http://www.cci.org
17,http://www.rit.edu
18,http://www.mobilityworks.com
19,http://www.closingthegap.com
20,http://www.aaidd.org
21,http://www.guidedogs.com
22,http://www.ahead.org
23,http://www.newmobility.com
24,http://www.atia.org
25,http://www.aucd.org
26,http://www.bltt.org
27,http://www.miusa.org
28,http://www.arizona.edu
29,http://www.leonardcheshire.org
30,http://www.gettinghired.com
31,http://www.ncpedp.org
32,http://www.uconn.edu
33,http://www.usatechguide.org
